Goods Location Code, Name
GBAUBRKLIVBRKGVM, Birkenhead
GBAUDVRDOVDVRGVM, Dover
GBAUDEUDEUDEUGVM, Dover / EuroTunnel (recommend using combined)
GBAUDEUDEUDEUGVM, Dartford
GBAUEUTEUTEUTGVM, EuroTunnel
GBAUFISFISFISGVM, Fishguard
GBAUHYMHEYHYMGVM, Heysham
GBAUHLYHLDHLYGVM, Holyhead
GBAUHULHULHULGVM, Hull
GBAULIVLIVLIVGVM, Liverpool
GBAUTILLONTILGVM, London
GBAUEAMMNCMSCGVM, Manchester
GBAUNHVNHVNHVGVM, Newhaven
GBAUPEDMILPEDGVM, Pembroke
GBAUPLYPLYPLYGVM, Plymouth
GBAUPMEPTMPMEGVM, Portsmouth
GBAUPOOPOOPOOGVM, Poole
GBAUTILLONTILGVM, Tilbury
