SCAC code,Carrier Name
ACLU,Atlantic Container Line
ANRM,Alianca
AKMR,Alaska Marine Lines
ANNU,Australia National Line
APLU,American President Lines
ARKU,Arkas Container Transport S.A.
AROF,Atlantic Ro-Ro Carriers Inc
NSAU,Bahri / National Shipping Company of Saudi Arabia
BCLU,Bermuda Container Line
CEGL,"Central Gulf Lines, Inc"
CNIU,Compagnia Chilena de Navigacion Interoceanica SA
CPJQ,Chinese-Polish Joint Stock Shipping Company
CMDU,CMA-CGM
11DX,"Cheng Lie Navigation Co.,Ltd"
COSU,COSCO Container Lines
CMCU,Crowley
CHIW,Compania Sud Americana de Vapores
NSLU,CSAV Norasia
CHNJ,China Shipping Container Lines Co
DAAE,Delmas
DOLQ,Dole Ocean Cargo Express
EQLI,Ecuadorian Line
EIMU,Eimskip
ESPU,Emirates Shipping Line
EUKO,Eukor
EGLV,Evergreen Line
FESO,Far Eastern Shipping Company
GFAL,Galborg
ACSU,Grieg Star Shipping
GRIU,Grimaldi
GSLU,Gold Star Line Ltd.
UBCU,Great White Fleet
GESC,Great Eastern Shipping Inc.
SUDU,Hamburg Sud
HLCU,Hapag Lloyd Container Line/A>
HDMU,"Hyundai Merchant Marine Co., Ltd."
HUAU,Hoegh Autoliners
HRZU,Horizon Lines
HYDU,Hyde Shipping
IILU,Independent Container Line
IDMC,Industrial Maritime Carriers (Intermarine)
INOC,Interocean Lines
KKLU,"Kawasaki Kisen Kaisha, Ltd."
KOSL,King Ocean Sercies
KMTU,"Korea Marine Transport Co., Ltd."
CLIB,Companhia Libra de Navegacao
LGLT,"Liberty Global Logistics, LLC"
LMCU,Linea Messina
MAEU,Maersk Line
MFTU,Marfret Compagnie Maritime
MRUB,Maruba
MATS,Matson
MCCQ,MCC Transport Pte. Ltd.
MISC,Malaysia International Shipping Corporation Berhad
MSCU,Mediterranean Shipping Company
NIDU,Nile Dutch Africa Line
NOSU,Neptune Shipping Line
NODA,Nordana Line
ONEY,Ocean Network Express (ONE Line)
OOLU,Orient Overseas Container Line Ltd.
PSHI,Pasha Hawaii Transport Lines
PCIU,Pacific International Lines
PMOL,PM&O Lines
PLLU,Polynesia Line
RCKI,Rickmers Linie
SAFM,Safmarine
SLAQ,Sallaum Lines
SKII,"Samskip, Inc."
SCIU,The Shipping Coporation of India Ltd.
SMLU,Seaboard Marine
SEFN,SeaFreight Line
SEJJ,Seago Line
SCYE,Siem Car Carriers AS
SKLU,"Sinokor Merchant Marine Co.,Ltd"
CHVW,Swire Shipping
THZS,Thorco Shipping
TOHO,"TOHO Shipping Co., Ltd"
TOTE,TOTE Maritime
TRKU,Turkon Line Inc
UALC,Universal Africa Lines
USLU,US Lines
WECU,West European Container Lines
WWSU,Westwood Shipping Lines
22AA,Wan Hai Lines
WDLS,World Logistics Service (USA) Inc
WLWH,Wallenius Wilhelmsen Logistics
YMLU,Yang Ming Line
ZIMU,ZIM Integrated Shipping Services Ltd
